# PIT top-100 liquidity universe (v6 monthly_pit_universe).
# One row per (symbol, month): from_date <= as_of < to_date; empty to_date = current.
# Regenerate monthly: python scripts/build_daily_universe.py
symbol,name,sector,from_date,to_date
POWERGRID,POWERGRID,UNKNOWN,2024-02-01,2024-03-01
CANBK,CANBK,UNKNOWN,2024-02-01,2024-03-01
RVNL,RVNL,UNKNOWN,2024-02-01,2024-03-01
HINDALCO,HINDALCO,UNKNOWN,2024-02-01,2024-03-01
IDFCFIRSTB,IDFCFIRSTB,UNKNOWN,2024-02-01,2024-03-01
ASIANPAINT,ASIANPAINT,UNKNOWN,2024-02-01,2024-03-01
COCHINSHIP,COCHINSHIP,UNKNOWN,2024-02-01,2024-03-01
TITAN,TITAN,UNKNOWN,2024-02-01,2024-03-01
TECHM,TECHM,UNKNOWN,2024-02-01,2024-03-01
LIQUIDBEES,LIQUIDBEES,UNKNOWN,2024-02-01,2024-03-01
ULTRACEMCO,ULTRACEMCO,UNKNOWN,2024-02-01,2024-03-01
POLYCAB,POLYCAB,UNKNOWN,2024-02-01,2024-03-01
PAYTM,PAYTM,UNKNOWN,2024-02-01,2024-03-01
IRCON,IRCON,UNKNOWN,2024-02-01,2024-03-01
RBLBANK,RBLBANK,UNKNOWN,2024-02-01,2024-03-01
SHRIRAMFIN,SHRIRAMFIN,UNKNOWN,2024-02-01,2024-03-01
PERSISTENT,PERSISTENT,UNKNOWN,2024-02-01,2024-03-01
MAZDOCK,MAZDOCK,UNKNOWN,2024-02-01,2024-03-01
BAJAJ-AUTO,BAJAJ-AUTO,UNKNOWN,2024-02-01,2024-03-01
DRREDDY,DRREDDY,UNKNOWN,2024-02-01,2024-03-01
BEL,BEL,UNKNOWN,2024-02-01,2024-03-01
SUNPHARMA,SUNPHARMA,UNKNOWN,2024-02-01,2024-03-01
BANDHANBNK,BANDHANBNK,UNKNOWN,2024-02-01,2024-03-01
NMDC,NMDC,UNKNOWN,2024-02-01,2024-03-01
COFORGE,COFORGE,UNKNOWN,2024-02-01,2024-03-01
SJVN,SJVN,UNKNOWN,2024-02-01,2024-03-01
DLF,DLF,UNKNOWN,2024-02-01,2024-03-01
BSE,BSE,UNKNOWN,2024-02-01,2024-03-01
